Ethnicity	Gender	Cohort	Transfer	Cohort_Math	Math	Cohort_English	English	Ed_Goal	College_Status	Student_ID	EthnicityFlag_Asian	EthnicityFlag_Black	EthnicityFlag_Hispanic	EthnicityFlag_NativeAmerican	EthnicityFlag_PacificIslander	EthnicityFlag_White	EthnicityFlag_Carribean	EthnicityFlag_EastAsian	EthnicityFlag_SouthEastAsian	EthnicityFlag_SouthWestAsianNorthAfrican	EthnicityFlag_AANAPI	EthnicityFlag_Unknown	EthnicityFlag_TwoorMoreRaces
Native American	Female	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100001	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2018	1	NA	NA	Deg/Transfer	First-time College	100002	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2018	1	2017	0	Deg/Transfer	First-time College	100003	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2018	1	Other	First-time College	100004	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2017	1	2019	0	Deg/Transfer	Other	100005	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2019	1	2018	1	Other	First-time College	100006	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2018	1	Deg/Transfer	Other	100007	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100008	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2018	1	2017	1	Other	First-time College	100009	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2017	1	2018	0	Deg/Transfer	Other	100010	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2019	0	Deg/Transfer	First-time College	100011	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	NA	NA	2018	1	Deg/Transfer	First-time College	100012	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2018	1	Other	First-time College	100013	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	0	2017	0	Deg/Transfer	First-time College	100014	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2019	1	2017	1	Deg/Transfer	First-time College	100015	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2019	1	NA	NA	Deg/Transfer	First-time College	100016	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2017	1	Deg/Transfer	Other	100017	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2018	1	2017	1	Other	First-time College	100018	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2019	0	2017	1	Deg/Transfer	First-time College	100019	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2019	1	Other	First-time College	100020	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100021	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2019	1	Deg/Transfer	First-time College	100022	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2018	1	2017	1	Other	Other	100023	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2018	1	2018	0	Deg/Transfer	First-time College	100024	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2019	1	NA	NA	Deg/Transfer	First-time College	100025	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	NA	NA	2017	0	Deg/Transfer	Other	100026	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2017	1	2017	0	Deg/Transfer	Other	100027	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	0	2017	0	Deg/Transfer	First-time College	100028	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2019	1	2017	1	Deg/Transfer	Other	100029	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	0	2018	0	Deg/Transfer	First-time College	100030	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	1	2017	0	Other	First-time College	100031	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2018	1	2017	0	Deg/Transfer	First-time College	100032	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	1	2017	1	Other	First-time College	100033	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2017	1	Deg/Transfer	First-time College	100034	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2018	1	2019	1	Deg/Transfer	First-time College	100035	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2019	1	2017	1	Deg/Transfer	First-time College	100036	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2019	1	Deg/Transfer	First-time College	100037	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2017	0	Deg/Transfer	Other	100038	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2019	1	Deg/Transfer	First-time College	100039	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	0	2017	1	Other	Other	100040	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100041	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100042	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100043	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	1	NA	NA	Deg/Transfer	First-time College	100044	0	0	0	1	0	0	0	0	0	0	1	0	0
